|                Model |       Vendor |   Display_Size |    Screen_Resolution |        O/S |           CPU_Type |    CPU_Clock |    Memory_Size | Price($S) |
|                   N9 |        Nokia |            3.9 |              854x480 |      Linux |           CortexA8 |         1000 |          16.00 |       249 | 
|          GalaxyNexus |      Samsung |            4.6 |             720x1280 |    Android |           CortexA9 |         2500 |          16.00 |       265 | 
|           GalaxyNOTE |      Samsung |            5.3 |             800x1280 |    Android |         Snapdragon |         2300 |          16.00 |       460 | 
|             GalaxyS2 |      Samsung |            4.3 |              480x800 |    Android |             Exynos |         1400 |          16.00 |       300 | 
|              GalaxyW |      Samsung |            3.7 |              480x800 |    Android |         Snapdragon |         2300 |           3.70 |       204 | 
|             Infuse4G |      Samsung |            4.5 |              480x800 |    Android |        Hummingbird |         1200 |          16.00 |       180 | 
|            XperiaArc |         SONY |            4.2 |              480x854 |    Android |         Snapdragon |         2300 |           0.32 |       559 | 
|           XperiaArcS |         SONY |            4.2 |              480x854 |    Android |         Snapdragon |         2300 |           1.00 |       262 | 
|            XperiaNeo |         SONY |            3.7 |              480x854 |    Android |         Snapdragon |         2300 |           0.38 |       240 | 
|              Iphone4 |        Apple |            3.5 |              640x960 |        iOS |                 A4 |          800 |           8.00 |       317 | 
|              7Mozart |          HTC |            3.7 |              480x800 |    Windows |         Snapdragon |         2300 |           8.50 |       147 | 
|            7Surround |          HTC |            3.8 |              480x800 |    Windows |         Snapdragon |         2300 |          16.50 |       123 | 
|              7Trophy |          HTC |            3.8 |              480x800 |    Windows |         Snapdragon |         2300 |           8.50 |       157 | 
|                 Aria |          HTC |            3.2 |              480x320 |    Android |    QualcommMSM7227 |          600 |           0.51 |       128 | 
|               Desire |          HTC |            3.7 |              480x800 |    Android |         Snapdragon |         2300 |           0.51 |       156 | 
|             DesrieHD |          HTC |            4.3 |              480x800 |    Android |         Snapdragon |         2300 |           1.50 |       216 | 
|              DesrieZ |          HTC |            3.7 |              480x800 |    Android |    QualcommMSM7230 |          800 |           1.50 |       196 | 
|               HDMini |          HTC |            3.2 |              480x320 |    Windows |           Qualcomm |          600 |           0.51 |       185 | 
|                  HD7 |          HTC |            4.3 |              480x800 |    Windows |         Snapdragon |         2300 |           8.50 |       150 | 
|               Legend |          HTC |            3.2 |              480x320 |    Android |    QualcommMSM7227 |          600 |           0.51 |       296 | 
|             NexusOne |          HTC |            3.7 |              480x800 |    Android |         Snapdragon |         2300 |           0.51 |       280 | 
|             Wildfire |          HTC |            3.2 |              240x320 |    Android |    QualcommMSM7225 |          528 |           0.51 |       130 | 
|             Optimus7 |           LG |            4.0 |              480x800 |    Windows |         Snapdragon |         2300 |          16.50 |       251 | 
|       OptimusOneP500 |           LG |            3.2 |              480x320 |    Android |         Snapdragon |         2300 |           0.15 |       239 | 
|                C5-00 |        Nokia |            2.2 |              240x320 |    Symbian |              ARM11 |         2200 |           0.26 |       231 | 
|                   N8 |        Nokia |            3.5 |              640x360 |    Symbian |              ARM11 |         2200 |          16.00 |       429 | 
|              GalaxyS |      Samsung |            4.0 |              480x800 |    Android |        Hummingbird |         1000 |          16.00 |       600 | 
|               NexusS |      Samsung |            4.0 |              480x800 |    Android |        Hummingbird |         1000 |          16.00 |       530 | 
|               Omnia7 |      Samsung |            4.0 |              480x800 |    Windows |         Snapdragon |         2300 |           1.00 |       429 | 
|            XperiaX10 |         SONY |            4.0 |              480x854 |    Android |         Snapdragon |         2300 |           1.00 |       170 | 
|            Iphone3GS |        Apple |            3.5 |              480x320 |        iOS |           CortexA8 |          600 |           8.00 |       249 | 
|                 P835 |         ASUS |            3.5 |              480x800 |    Windows |      Qualcomm7201A |          528 |           4.25 |       327 | 
|                 Hero |          HTC |            3.2 |              480x320 |    Android |              ARM11 |          528 |           0.51 |       430 | 
|                Magic |          HTC |            3.2 |              480x320 |    Android |              ARM11 |          528 |           0.51 |        99 | 
|                Max4G |          HTC |            3.8 |              480x800 |    Windows |   QualcommESM7206A |          528 |           8.10 |       128 | 
|               Tattoo |          HTC |            2.8 |              240x320 |    Android |    QualcommMSM7225 |          528 |           0.51 |       208 | 
|                Topaz |          HTC |            3.2 |              480x800 |    Windows |   QualcommMSM7220A |          528 |           0.51 |       237 | 
|              Rhodium |          HTC |            3.6 |              480x800 |    Windows |   QualcommMSM7200A |          528 |           0.51 |       215 | 
|            Milestone |     Motorola |            3.7 |              854x480 |    Android |           CortexA8 |          550 |           0.51 |       549 | 
|                  E72 |        Nokia |            2.4 |              320x240 |    Symbian |              ARM11 |          600 |           0.26 |       280 | 
|                 N900 |        Nokia |            3.5 |              480x800 |      Linux |           CortexA8 |          434 |          32.00 |       339 | 
|                  N97 |        Nokia |            3.5 |              640x360 |    Symbian |           CortexA8 |          434 |          32.00 |       302 | 
|              N97mini |        Nokia |            3.2 |              640x360 |    Symbian |              ARM11 |          600 |           8.00 |       449 | 
